                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.38609,                0.24306,                0.84923,                0.90384,                0.86949,                 0.9026,                0.72308,                0.68351,                0.43046,                0.98748,               0.004357,               0.004357,               0.004357
                     59,                0.38304,                0.24007,                0.84784,                0.89895,                 0.8693,                0.90477,                0.72678,                0.68283,                0.42347,                 1.0042,               0.004258,               0.004258,               0.004258
                     60,                0.37655,                0.23607,                0.84683,                0.90571,                0.86839,                0.89996,                0.72571,                0.68049,                0.43017,                 1.0032,               0.004159,               0.004159,               0.004159
                     61,                0.37252,                0.23214,                0.84385,                0.89318,                0.85984,                0.90069,                0.71674,                0.68101,                0.43237,                0.99786,                0.00406,                0.00406,                0.00406
                     62,                0.36986,                 0.2326,                0.84613,                 0.9027,                 0.8569,                0.89913,                0.72162,                0.68322,                0.42779,                 1.0162,               0.003961,               0.003961,               0.003961
                     63,                0.36601,                0.23134,                0.84547,                0.90996,                0.85551,                0.90693,                0.72982,                0.68183,                0.42554,                 1.0101,               0.003862,               0.003862,               0.003862
                     64,                0.36201,                0.22931,                 0.8441,                0.91308,                0.86458,                0.90635,                0.72852,                0.68282,                0.42579,                 1.0195,               0.003763,               0.003763,               0.003763
                     65,                0.35817,                0.22723,                0.84401,                0.89253,                0.86492,                0.89802,                0.72671,                0.68506,                0.43903,                 1.0218,               0.003664,               0.003664,               0.003664
                     66,                0.35349,                0.22352,                0.84325,                 0.8898,                0.88377,                0.91204,                0.73362,                 0.6798,                0.42275,                 1.0149,               0.003565,               0.003565,               0.003565
                     67,                0.35037,                0.22188,                0.84225,                0.90318,                0.86936,                0.90252,                0.72107,                0.67943,                0.42816,                 1.0266,               0.003466,               0.003466,               0.003466
                     68,                 0.3534,                0.22093,                0.84255,                0.91576,                0.84528,                0.90202,                0.72393,                0.67925,                0.43725,                 1.0171,               0.003367,               0.003367,               0.003367
                     69,                0.34427,                0.21736,                0.84017,                 0.9153,                0.85537,                0.90531,                0.73034,                0.67307,                0.43495,                 1.0143,               0.003268,               0.003268,               0.003268
                     70,                 0.3418,                0.21638,                0.83867,                0.91082,                0.85993,                0.90337,                0.73135,                0.67768,                0.43314,                 1.0164,               0.003169,               0.003169,               0.003169
                     71,                0.34041,                0.21635,                0.84019,                0.92163,                0.84228,                0.90672,                0.72475,                0.68103,                0.43298,                 1.0268,                0.00307,                0.00307,                0.00307
                     72,                0.33792,                0.21434,                0.83629,                0.87268,                0.88655,                0.90572,                0.73161,                0.67911,                0.42633,                 1.0194,               0.002971,               0.002971,               0.002971
